lon,lat,e_vel,n_vel,e_err,n_err,cve,site
31.778172,41.450000,0.028692,0.270000,0.274177,0.279909,0.000000,ZONG
96.320000,17.400000,4.084279,9.571500,0.368794,0.317855,0.000000,IGLE
96.670000,17.470000,3.218091,-1.744566,0.064031,0.156605,0.000000,WAAW
97.100000,17.460000,4.309777,-4.079395,0.167705,0.167705,0.000000,SATG
92.480000,26.160000,11.959927,30.390712,1.000000,0.950000,0.000000,AMSO
92.010000,26.250000,11.321781,32.022172,0.650000,0.620000,0.000000,BURA
92.200000,26.120000,11.575356,31.124163,0.670000,0.630000,0.000000,JAGI
92.080000,26.130000,11.321618,31.891331,0.620000,0.580000,0.000000,KHET
92.249000,26.198000,12.229631,30.696919,0.585918,0.523546,0.000000,KUMO
90.120000,26.220000,11.489677,36.053123,0.370000,0.340000,0.000000,MAHA
90.590000,26.190000,11.151991,33.662503,0.280000,0.280000,0.000000,PANC
89.970000,26.630000,12.059066,36.411791,0.300000,0.290000,0.000000,RAIM
92.410000,27.270000,14.208795,23.546582,0.271673,0.300448,0.000000,BOMP*
91.940000,27.580000,18.898646,17.193008,0.270000,0.260000,0.000000,TAWA
92.650000,26.160000,11.894421,32.027149,0.950000,0.840000,0.000000,KAMP
92.860000,25.810000,12.603902,31.194470,0.460000,0.440000,0.000000,KHER
92.830000,25.720000,10.309402,32.716284,0.460000,0.460000,0.000000,PANI
92.630000,26.070000,10.969943,32.361688,0.490000,0.490000,0.000000,RAJA
92.740000,25.600000,11.185536,31.011721,0.910000,0.900000,0.000000,SOKR
92.730000,25.530000,10.490298,30.598991,0.540000,0.520000,0.000000,UMRA
92.930000,26.410000,11.905567,29.853566,0.280000,0.280000,0.000000,BORJ
93.070000,26.190000,11.583792,29.811743,0.790000,0.750000,0.000000,DOKM
91.290000,26.010000,12.290473,33.434832,0.320000,0.310000,0.000000,BAMU
90.850000,25.960000,12.053772,33.533992,0.340000,0.320000,0.000000,GARO
92.019000,25.179000,11.958247,33.154636,0.329275,0.323179,0.000000,MAWR
92.600000,25.520000,12.307634,32.353495,0.810000,0.810000,0.000000,NaNTU
91.860000,25.900000,11.531908,33.121102,0.280000,0.290000,0.000000,NONG
91.700000,25.260000,11.929441,34.787269,0.304138,0.289353,0.000000,RANG
90.650000,25.510000,12.741760,35.599006,0.350000,0.320000,0.000000,WLMN
88.570000,27.370000,11.524655,30.505161,0.239783,0.237899,0.000000,GBSK*
77.510000,13.030000,16.620650,34.595155,0.220712,0.215800,0.000000,BAN2#
66.451000,30.913863,1.071000,6.723000,0.130171,0.101598,0.000000,CHMN
66.660000,30.731000,2.523000,12.457000,0.139084,0.134536,0.000000,QLAB
66.043789,29.544882,-6.996681,9.304234,-0.000000,-0.000000,-0.000000,NUSH
97.016000,28.131000,13.134395,5.458118,0.500000,0.500000,0.000000,WALG
96.520000,28.082000,16.018022,10.125188,0.900000,0.900000,0.000000,HAYU
96.396000,27.973000,13.918594,16.191902,0.300000,0.300000,0.000000,TDNG
96.359000,27.756000,12.427782,17.581966,0.600000,0.600000,0.000000,KNGR
95.966000,28.325000,17.186645,16.776313,0.400000,0.300000,0.000000,HUNL
95.901500,28.789500,17.514213,13.008953,0.380789,0.427200,0.000000,ANIN
95.855000,28.449000,14.577103,16.346435,0.700000,0.700000,0.000000,RALI
95.845000,28.567000,12.071578,15.743742,0.700000,0.600000,0.000000,ANGO
95.834000,28.224000,16.686526,18.840780,0.700000,0.800000,0.000000,TWGN
100.961000,36.400000,9.614447,3.489628,0.152001,0.137469,0.000000,G094
100.550000,36.222000,9.961129,3.603910,0.183307,0.169222,0.000000,G097
99.972000,35.620000,10.840548,4.744000,0.160461,0.166650,0.000000,J003
98.208000,34.900000,16.881444,5.143957,0.085323,0.077985,0.000000,J005
97.200000,33.700000,20.260000,7.161411,0.274824,0.224571,0.000000,J396
97.980000,34.400000,20.644682,6.082451,0.190999,0.111068,0.000000,J400
99.200000,34.300000,17.343804,3.168999,0.188881,0.191154,0.000000,J406
99.311000,35.390000,13.106917,3.103778,0.830000,0.740000,0.000000,IG01
99.044000,35.321000,12.165940,5.127245,0.650000,1.110000,0.000000,IG03
98.968000,35.197000,14.894450,5.518231,1.160000,0.820000,0.000000,IG05
98.791000,35.101000,14.983212,2.090529,0.580000,1.190000,0.000000,IG08
98.684000,35.057000,14.512625,4.591917,0.820000,0.970000,0.000000,IG10
79.430000,29.640000,6.447574,35.850389,0.603697,0.623258,0.000000,RBAG
80.560000,29.860000,2.924678,30.993031,0.721110,0.534813,0.000000,DHAR
97.050000,41.850000,3.491465,2.560000,0.199134,0.199637,0.000000,G122
96.748000,40.038000,2.733123,3.153913,0.235799,0.233279,0.000000,G130
95.710000,40.080000,2.682337,3.785594,0.183086,0.167667,0.000000,G131
98.000000,39.190000,4.076565,2.953000,0.170734,0.187156,0.000000,G144
98.270000,38.970000,4.222166,3.012607,0.184715,0.218785,0.000000,G147
95.800000,37.510000,7.719000,6.207071,0.282290,0.281986,0.000000,G151
97.985000,39.690000,3.774674,2.083442,0.146138,0.202377,0.000000,G309
94.300000,39.600000,3.420000,3.900000,0.097796,0.138347,0.000000,G311
97.095000,39.480000,5.237330,4.059344,0.117394,0.174732,0.000000,G313
94.300000,39.200000,6.480000,4.480000,0.114577,0.163927,0.000000,G314
93.400000,38.500000,6.300000,6.383832,0.152355,0.149479,0.000000,G323
92.400000,38.100000,7.667301,9.374942,0.131712,0.142576,0.000000,G332
89.300000,38.100000,6.585682,10.300000,0.166157,0.161567,0.000000,G333
91.678500,37.851500,8.636703,11.339721,0.221416,0.203961,0.000000,G335
88.630000,42.816000,3.693218,7.013433,0.151402,0.162358,0.000000,I027
84.330000,43.650000,3.033000,6.888000,0.221154,0.230578,0.000000,I045
82.980000,41.710000,4.140000,11.191000,0.127337,0.161430,0.000000,I057
81.340000,41.600000,2.811000,8.095000,0.405915,0.327092,0.000000,I059
80.240000,41.140000,3.007000,15.476655,0.374477,0.337787,0.000000,I061
83.159525,38.258720,-1.154662,12.781000,0.279094,0.306544,0.000000,I065
82.700000,37.050000,-2.382607,14.100000,0.224116,0.284311,0.000000,I067
82.993000,36.739000,-2.097545,13.951028,0.194769,0.224324,0.000000,I069
76.510000,39.806000,2.130000,14.675376,0.210495,0.151873,0.000000,I077
79.964000,37.100000,-2.910620,16.240000,0.199881,0.205819,0.000000,I087
87.000000,43.500000,3.830000,6.194349,0.115482,0.116653,0.000000,I355
81.110000,43.495000,2.200000,6.454858,0.167813,0.206835,0.000000,I356
88.000000,43.500000,3.995296,5.340000,0.120100,0.121012,0.000000,I358
94.000000,43.400000,4.170000,2.980000,0.103421,0.142787,0.000000,I360
91.315000,41.007500,4.105000,6.673584,0.197528,0.186163,0.000000,I389
74.831500,38.861000,-3.043312,20.708791,0.208806,0.206155,0.000000,I402
74.900000,38.200000,-2.725954,19.690000,0.119432,0.112907,0.000000,I403
75.769000,37.840000,-1.800377,21.478327,0.223607,0.279330,0.000000,I407
78.995000,37.105000,-1.183800,18.069897,0.558793,0.572931,0.000000,I417
78.050500,36.344500,-2.917222,19.527669,0.300926,0.301672,0.000000,I419
77.005000,36.580000,-2.545000,20.827674,0.151612,0.145639,0.000000,J047
80.340500,34.439000,-0.166608,18.136082,0.275862,0.241299,0.000000,J315
93.360000,35.350000,25.630494,6.074277,0.130000,0.130000,0.000000,J374
94.100000,35.600000,23.050000,3.773020,0.110397,0.086241,0.000000,J377
94.100000,35.700000,14.836219,8.353020,0.149562,0.138654,0.000000,J379
94.750000,34.920000,22.249864,6.538794,0.140000,0.210000,0.000000,J384
94.873000,36.430000,7.855723,8.127455,0.190120,0.190089,0.000000,JB30
93.410000,38.809000,6.905994,6.492835,0.156474,0.173393,0.000000,JB31
90.982000,38.590000,6.246000,9.072000,0.139700,0.164793,0.000000,JB32
93.626000,42.810000,4.190745,4.287057,0.122960,0.160640,0.000000,JB43
75.921500,39.518500,2.421000,16.951000,0.228446,0.282064,0.000000,JB48
93.052000,35.090000,24.660000,8.637723,0.182052,0.157117,0.000000,JB51
79.581000,35.460000,-1.382275,16.868864,0.165939,0.192065,0.000000,JB55
90.800000,38.490000,7.385000,9.971328,0.087501,0.089925,0.000000,QHMY
75.231000,37.775000,-3.127776,21.484346,0.124188,0.125603,0.000000,TASH
81.526000,43.972205,2.996307,6.843445,0.150194,0.156097,0.000000,XJYN
81.970000,36.430000,-2.648647,14.577410,0.111593,0.109871,0.000000,XJYT
30.404260,40.880005,-5.186697,-1.475899,0.440710,0.494495,0.000000,CLTK
30.461750,40.477860,-22.731500,0.366994,0.390000,0.420000,0.000000,DGCT
30.293560,41.048250,2.659352,2.607604,0.570000,0.610000,0.000000,KANR
30.301705,40.782610,-6.355794,2.921784,0.622013,0.652993,0.000000,KAZI
30.229370,41.186800,2.569361,3.687835,0.370000,0.400000,0.000000,KFKT
30.322600,40.610820,-18.595042,-0.014255,0.546260,0.552472,0.000000,SEFI
30.453360,40.350610,-23.562065,0.707024,0.380000,0.410000,0.000000,SEYH
30.130000,40.745000,-8.743000,-0.168000,0.489285,0.516419,0.000000,SISL
30.134015,40.689860,-13.864668,1.195589,0.382835,0.403128,0.000000,SMAS
66.896864,38.673769,0.246677,-0.236156,0.000000,0.000000,0.000000,TASH
70.638342,41.996569,0.298446,0.409788,0.000000,0.000000,0.000000,MTAL
67.113000,24.931000,6.474000,29.148000,0.166012,0.113278,0.000000,KCHI
66.601200,29.105915,5.430653,18.157581,0.526806,0.505594,0.000000,KALT
66.223795,26.195010,6.080258,29.300828,0.350036,0.328824,0.000000,LAKC
66.129400,26.182000,7.004000,25.426525,0.444735,0.402230,0.000000,SHFD
65.605320,26.392700,5.863000,13.411339,0.483287,0.459964,0.000000,ZHAO
64.110000,26.978000,2.267000,2.234908,0.454215,0.413830,0.000000,PANG
63.468200,25.258910,4.816838,17.284323,0.784889,0.682367,0.000000,PASN
62.320165,25.144040,5.639921,7.996897,0.240416,0.215697,0.000000,GWAD
62.318310,27.390220,3.180550,3.495813,0.145774,0.113358,0.000000,SRVN
